set,label,f0,mfcc,cqt
val,0,311.7312107373904,"[-3.8352856e+02  6.4974731e+01 -4.6267754e+01  3.9867527e+01
 -4.4198895e+00 -1.3045917e+01 -2.2381748e+01 -2.3978146e+01
 -8.0227172e-01  6.1882520e+00 -9.4374409e+00 -5.9307551e+00
  1.8932300e+00 -6.8230767e+00 -4.8170147e+00 -5.0949311e+00
  8.5112095e-01  1.1315488e-01  3.3034172e+00  6.5301566e+00]","[0.4284248  0.47769037 0.52585304 0.44475278 0.5188213  0.6241886
 0.5498438  0.44287932 0.40335053 0.4376338  0.43594038 0.4603534 ]"
val,0,258.03965548824635,"[-4.2271884e+02  9.9726311e+01 -4.6697319e+01  4.0898888e+01
 -7.5766444e+00 -2.8664082e-01 -2.2232561e+01 -1.6160820e+01
 -7.7237444e+00  4.3665409e+00 -6.2968645e+00 -1.0260259e+01
  1.0993303e+00 -1.0327107e+01 -3.3320923e+00 -7.6364999e+00
  3.1328518e+00 -5.0531249e+00 -5.4055824e+00 -3.6595840e+00]","[0.48643658 0.46774328 0.38008317 0.30902472 0.38375333 0.4690758
 0.48444876 0.32988814 0.31140324 0.39064777 0.47197807 0.48013508]"
val,0,247.7259892760876,"[-436.90414     80.713196   -35.69192     37.60559    -11.306589
   -3.6751173  -11.949352   -13.154511   -10.93955      3.3023837
   -3.3441026   -8.192271     2.1084406   -2.276334    -3.0053265
   -9.264031     3.1149437   -5.333755    -2.6796649   -2.3793287]","[0.38969234 0.31031644 0.2865108  0.3095775  0.36735806 0.4645126
 0.5377587  0.37502927 0.3487951  0.41197821 0.4320231  0.43625993]"
val,0,253.67796858766053,"[-388.665        91.80983     -47.988747     29.901917    -14.11332
    0.91330296  -14.919664    -21.230207    -10.250979      5.5682373
   -7.217402     -9.271793      4.021824     -6.2023025    -3.0688303
  -11.437261      2.9837017    -1.5340286    -5.555524     -0.6260658 ]","[0.48060986 0.4255054  0.3763944  0.3189388  0.395711   0.48048523
 0.45769253 0.45340016 0.43191648 0.45124638 0.4567031  0.5167291 ]"
val,0,300.89066553219243,"[-4.0123120e+02  8.6711922e+01 -5.9079948e+01  2.3770370e+01
 -7.1227913e+00  3.6758168e+00 -1.8869967e+01 -2.8545099e+01
 -6.8386908e+00  5.3246059e+00 -8.7999907e+00 -5.4404874e+00
  6.8936634e+00 -4.0809565e+00 -4.8418136e+00 -1.1326148e+01
  2.9149606e+00 -1.4286809e-01 -9.7962195e-01  4.2401528e+00]","[0.4180024  0.3822503  0.41725188 0.46084553 0.46753567 0.5661741
 0.5982428  0.49952742 0.35076153 0.35184637 0.3300358  0.365161  ]"
val,0,270.75046961608643,"[-399.6099      79.21658    -42.008373    41.8934     -20.98401
   -4.7006464  -16.749907   -14.846299   -16.214651     2.0390272
   -9.001723   -13.664806     4.5438743   -4.592716    -4.312343
  -14.793941     3.9610746   -7.801593    -3.6446164    5.0222335]","[0.44147077 0.44261327 0.3233936  0.31742194 0.43292582 0.4469887
 0.5119782  0.49371466 0.4035124  0.37519366 0.36958256 0.43469185]"
val,0,273.001911146206,"[-398.12103     82.55793    -50.966515    34.57892     -4.662581
   -2.4163158  -12.808572   -15.89331    -16.395922     5.7103662
   -8.955709   -13.049669     2.1536522   -2.4131386   -2.339462
  -14.868815     6.061322    -4.379677    -2.9503987    3.4635963]","[0.51304007 0.3793752  0.31211123 0.32968977 0.42741942 0.52659166
 0.49285695 0.4905456  0.4345035  0.3951115  0.46495354 0.4753761 ]"
val,0,256.2171864509591,"[-4.3875797e+02  5.6473972e+01 -3.0931211e+01  3.3075539e+01
 -1.6197584e+01  1.2080821e+01 -1.1240431e+01 -8.1627436e+00
 -1.4979818e+01  6.5104980e+00 -1.3113815e+00 -1.2808373e+01
  9.2323923e+00 -2.8240035e+00  1.2799074e-01 -1.1434174e+01
  6.7689414e+00 -1.6946491e+00 -4.8958654e+00  3.8539732e+00]","[0.47902024 0.53874165 0.48137087 0.44255453 0.47643566 0.5447341
 0.60195225 0.59450734 0.5453323  0.4992056  0.47804958 0.38986614]"
val,0,280.0214947329674,"[-415.32632     83.88565    -48.14465     31.657652   -19.52654
    9.672234   -13.096093   -12.512512   -17.487389     8.037712
   -2.4362562  -12.591394     8.523553    -5.751824    -1.3515632
  -11.514963     6.2231297   -3.021111     1.8944467    7.906497 ]","[0.3625617  0.32699734 0.36477122 0.44058535 0.48707905 0.56272566
 0.54485124 0.51466894 0.46083695 0.47008127 0.44772696 0.4255395 ]"
val,0,286.13876959347067,"[-409.82864     68.751396   -39.95797     26.281397   -21.078089
   15.678196   -11.19358    -14.425995   -14.044543     6.5814238
   -1.831988   -17.602182     8.232388    -3.8156672   -5.938414
   -9.489421     4.413059    -5.9387913   -4.9479666    2.95188  ]","[0.4953257  0.47658557 0.4577081  0.47844532 0.57067406 0.5755906
 0.6169835  0.5302577  0.50283176 0.4663589  0.40400913 0.43573055]"
