set,label,f0,mfcc,cqt
val,0,150.52210464732687,"[-3.6030368e+02  8.8506241e+01 -5.5316906e+01  5.0957329e+01
  2.7222595e+00 -5.7273788e+00 -1.7230494e+01 -1.2094463e+01
 -2.4838320e+01  4.1513019e+00  7.7015787e-01 -1.2958620e+01
  6.8264637e+00 -3.2136080e+00  4.5863299e+00 -7.9854131e+00
  2.2258830e-01 -2.2091293e+00 -4.3240490e+00 -2.8596730e+00]","[0.34063888 0.4460817  0.55408734 0.62434214 0.7079338  0.5479645
 0.4740091  0.44425243 0.38344973 0.39147362 0.37664485 0.37172905]"
val,0,167.95725998379473,"[-4.0936371e+02  7.6419678e+01 -3.2074848e+01  3.6647030e+01
  4.0908275e+00  8.7581408e-01 -1.3145515e+01 -1.0725545e+01
 -2.3303690e+01 -1.5325373e+00 -2.1354337e+00 -9.4096680e+00
  3.9506974e+00 -1.8355703e+00  4.8771777e+00 -7.4533448e+00
  7.2893559e-04 -1.0275252e+00 -4.2257395e+00 -3.5602725e+00]","[0.32694092 0.3512603  0.38687357 0.44542134 0.5809898  0.68565506
 0.59958935 0.43940362 0.345037   0.34514806 0.36189723 0.31061858]"
val,0,184.84416387348423,"[-437.5011       84.84357     -38.92449      44.040928     -5.680757
   -2.935215    -12.458679     -7.999155    -23.843355      0.87130415
   -2.3578303   -11.236265      5.688443     -5.1806636     3.4681447
   -7.32675       2.3112354    -1.8865564    -5.449262     -4.032013  ]","[0.31125826 0.3551414  0.40679222 0.4839661  0.6122495  0.6417193
 0.5996954  0.5237265  0.35630977 0.34756052 0.32830876 0.27377984]"
val,0,168.81964442003024,"[-4.0463226e+02  8.6195526e+01 -3.5960052e+01  2.9361256e+01
  9.5581293e-02  4.7835660e-01 -1.1185835e+01 -1.3028908e+01
 -2.5669943e+01  4.4888086e+00  3.1292152e+00 -1.1916938e+01
  6.6377378e+00 -1.0640994e+00  3.8115292e+00 -5.6072574e+00
 -1.6669789e-01 -3.5559461e-01 -4.0060925e+00 -4.3558412e+00]","[0.42033696 0.50863594 0.48703244 0.54289937 0.6442     0.6579651
 0.5856237  0.48779908 0.43024084 0.43067276 0.3758979  0.37093097]"
val,0,172.28775301172683,"[-382.2181      102.398056    -48.619057     30.720154      6.2662897
   -0.39766613  -14.102962    -20.23652     -30.448824      3.6700933
   -3.3858392   -12.054622      7.063759     -2.142128      1.8132018
   -6.854465      0.71617526   -4.305687     -5.414823     -3.0211823 ]","[0.42205784 0.43715605 0.3555406  0.3651103  0.3951492  0.5435796
 0.58173025 0.5242431  0.4040767  0.32978752 0.33931196 0.3550645 ]"
val,0,171.70615305243098,"[-409.21716      77.7404      -34.89253      43.794308      0.43955258
   -3.947609    -16.895742     -8.991841    -24.541292     -3.534838
   -5.469347    -12.795722      6.9217505    -6.850472      2.3359888
   -5.0701327    -0.7647178    -3.5936294    -4.3693457    -1.6812018 ]","[0.39910412 0.41261762 0.3682678  0.3999001  0.46980372 0.47855327
 0.50807524 0.494392   0.44648454 0.40603378 0.3880439  0.38948676]"
val,0,176.19324974520063,"[-4.2399707e+02  9.9644691e+01 -4.3665150e+01  5.2831600e+01
  7.6719823e+00 -1.0612904e+00 -1.5526295e+01 -9.5729580e+00
 -2.4581980e+01  3.6891699e-01 -5.9806275e-01 -1.2006704e+01
  4.0445542e+00 -4.8487043e+00  5.1630321e+00 -7.4870496e+00
 -7.7892375e-01 -2.6306901e+00 -1.9989479e+00 -3.1144507e+00]","[0.39947513 0.4066355  0.46066508 0.5520607  0.6330225  0.5523876
 0.4763668  0.50647265 0.3754232  0.35763603 0.39112273 0.3974536 ]"
val,0,151.19279758669134,"[-4.4497366e+02  5.4176987e+01 -2.8432371e+01  3.6867432e+01
 -5.0583534e+00  4.5820022e+00 -1.5301729e+01 -8.4308224e+00
 -1.8122910e+01  2.0127971e+00  1.1303686e+00 -1.2560454e+01
  8.7651653e+00 -9.9218482e-01  5.5646105e+00 -1.3485582e+00
  1.8194832e+00 -4.0875706e-01 -1.4462926e+00 -2.2159228e+00]","[0.42420933 0.5441417  0.5400433  0.5812294  0.6894181  0.6655815
 0.62596893 0.6142583  0.5575393  0.4872196  0.40266746 0.408736  ]"
val,0,170.708196629695,"[-4.2418961e+02  8.5001526e+01 -3.6659569e+01  4.2117569e+01
 -1.2475214e+01  9.6768503e+00 -1.6299946e+01 -5.1845345e+00
 -2.2530649e+01  1.5003879e+00 -6.2327851e-02 -1.1872077e+01
  9.1746645e+00 -5.8308959e+00  6.6968179e+00 -4.8039322e+00
  1.6273358e+00 -5.6307397e+00 -2.9076037e+00 -1.0994167e+00]","[0.33375198 0.3692274  0.39208037 0.4501693  0.6561272  0.64223295
 0.50678647 0.4457287  0.38746858 0.37123114 0.35035944 0.34887055]"
val,0,174.32922334074283,"[-440.29807     68.85732    -36.36105     36.75045    -10.951058
    7.845923   -13.084938    -6.254822   -21.680897     4.5428853
    4.544964   -12.673296     6.7616673   -3.9395049    3.9627755
   -4.6349235    1.1133325   -1.9954724   -1.950922    -3.7997923]","[0.29736918 0.3556442  0.4323778  0.435142   0.5615124  0.70784277
 0.5933575  0.5786779  0.42010775 0.38377166 0.33626267 0.2985326 ]"
