set,label,f0,mfcc,cqt
val,0,215.14005631244504,"[-4.4908218e+02  1.0426988e+02 -2.6733719e+01  4.6218475e+01
 -1.1458427e+00 -9.6557401e-02  2.5622418e+00 -6.0378378e-03
  1.6875993e+00  4.4891658e+00  3.7646923e+00 -1.2199914e+00
  3.0364130e+00  6.8363318e+00  8.3755445e+00 -3.0158672e+00
  6.2676148e+00  3.8095036e+00 -1.8109779e-01  4.2469835e+00]","[0.44270024 0.49877706 0.40443167 0.31910324 0.42443675 0.5855614
 0.5121578  0.4393814  0.36804783 0.39560923 0.4567835  0.37525976]"
val,0,211.90366728705544,"[-469.67044    121.32702    -24.34216     48.96362     -1.745402
    4.4103155   -7.447073    -3.0201814   -2.7510922    2.0500753
    2.0392091   -2.2083826    2.3347836    2.4366536   10.018852
   -9.097425     2.4287684    3.7994423   -3.2603366    2.2478917]","[0.34600332 0.35023054 0.27788264 0.31468844 0.37549752 0.5710818
 0.49988553 0.50856984 0.4268744  0.3919084  0.3239775  0.31003729]"
val,0,217.94154841128594,"[-435.88358      87.818924    -17.394373     34.064365     -3.4602296
   -2.702821      2.5373385     1.7942107    -0.76174265    1.8402195
    3.7459705     3.0348394     1.0398561     2.6539924     9.416005
   -4.426993      1.505803      2.7479322    -1.6820338     3.2282357 ]","[0.34764427 0.37659472 0.34695753 0.357553   0.4643594  0.5737643
 0.5247272  0.44531932 0.38720345 0.32791924 0.25893387 0.2391886 ]"
val,0,254.21267063030814,"[-4.3548462e+02  9.3962837e+01 -3.0709873e+01  3.2200680e+01
 -1.1102804e+01  8.1149101e+00  2.3282082e+00  3.5802672e+00
 -6.0723102e-01 -4.7930956e-01  2.6897654e-01 -1.2148789e+00
  5.0090437e+00 -2.3792098e+00  9.2286520e+00 -4.0567401e-01
  2.4757535e+00  9.1026030e-02 -7.8758101e+00 -3.0536449e-01]","[0.48434836 0.57285136 0.4963211  0.41314536 0.4194172  0.43956915
 0.44043207 0.58391327 0.45682213 0.37546813 0.33994272 0.3547755 ]"
val,0,300.4257431293335,"[-383.22287      98.303375    -27.873981      9.550915    -11.777022
    8.40414      -6.47309     -10.523529     -0.5824005     3.8568625
    3.960204     -4.105076      1.6631005     4.703636      5.309915
   -5.9449515    -2.746535     -0.66829216    2.8158116    13.500496  ]","[0.32840523 0.37783298 0.3586172  0.40394858 0.6420042  0.6903006
 0.37572253 0.32328463 0.3006535  0.28111055 0.2802398  0.3456364 ]"
val,0,235.46003473951595,"[-4.45087036e+02  1.12876945e+02 -2.25353527e+01  3.78131332e+01
 -8.50054073e+00  7.12747514e-01 -9.56361175e-01  1.48381054e-01
 -2.02619481e+00  2.43389726e+00  5.40977955e+00 -1.52253199e+00
  2.18640852e+00  1.56196728e-01  7.44421768e+00 -5.01039791e+00
  7.19608843e-01  2.46553588e+00 -3.58324409e+00  4.41017818e+00]","[0.34340936 0.4224094  0.4606747  0.37449494 0.5234785  0.517967
 0.42708483 0.39992058 0.3661265  0.3577388  0.31334972 0.31421036]"
val,0,266.8536327848644,"[-411.22614      87.46484     -26.9551       44.06378       2.2801805
   -2.6209843    -1.9472262     2.3398924    -3.34335       0.46996954
    2.6967378    -2.69676      -0.8362247     2.4439354     5.90192
   -9.54838       4.1874003     1.2624514    -5.1121163     6.5088377 ]","[0.43086985 0.516331   0.5781027  0.6043155  0.5148739  0.44512996
 0.38685808 0.37222952 0.2805001  0.25393888 0.27877808 0.28059652]"
val,0,272.3104448022775,"[-457.642       68.05884    -30.703445    41.883434   -20.739422
   14.400375    -5.8900037   10.173316    -8.573654     2.683557
    5.407727    -5.219826     9.434096    -5.218977    12.980996
   -4.522219     1.7497452   -1.8751597   -7.855581     3.9091008]","[0.55415094 0.53434324 0.4942667  0.46755394 0.4860675  0.59735215
 0.595995   0.56068623 0.4816569  0.4087725  0.37515113 0.4765933 ]"
val,0,276.04525422488166,"[-385.7949      104.97504     -30.478077     25.393404    -18.570133
    5.0075593    -3.5299017     9.253731     -8.512606      1.8261427
   -0.41652837   -4.594852      6.281315     -7.4333186     7.6676235
   -3.0142994     7.458905      2.35506      -3.2499578     1.8348911 ]","[0.45000184 0.5631107  0.5676649  0.46920907 0.4687037  0.46573892
 0.44637987 0.51030624 0.48902363 0.49035567 0.47245815 0.3972391 ]"
val,0,240.4091544378308,"[-3.92575348e+02  7.74115372e+01 -2.58609409e+01  2.53547287e+01
 -1.40603895e+01  1.02998199e+01  2.55840850e+00  1.02524738e+01
 -4.29715538e+00  1.00518417e+00 -2.70698339e-01 -5.73818350e+00
  5.68321419e+00 -3.72720146e+00  7.58911705e+00  1.56483412e+00
  5.83189774e+00  2.02111578e+00 -2.44895172e+00  3.55791926e-01]","[0.5852368  0.5782283  0.4480206  0.38367298 0.4245326  0.44001377
 0.5184414  0.55414563 0.44550782 0.41011956 0.48744693 0.5158638 ]"
