set,label,f0,mfcc,cqt
val,0,233.15177657880238,"[-410.6517      79.44001    -24.058338    46.370106   -11.666268
   16.04926    -20.375298   -11.269846   -19.386719    -9.657816
   -0.6285153  -17.537632    -6.1815777   -6.656978     2.296387
  -10.924762     5.9708233   -2.5259986   -9.892346     1.0028727]","[0.37006947 0.44637787 0.4257593  0.50568056 0.5006164  0.47784752
 0.55430585 0.5440435  0.5011832  0.42094734 0.29211637 0.27839676]"
val,0,218.80633194456072,"[-412.1187      87.89507    -14.427727    35.016098    -7.8586206
    9.501519   -14.644207   -11.341929   -23.081623    -9.838067
   -4.143938   -13.081375    -2.9061499   -8.203628     0.8520189
  -12.395111     3.4560246   -2.4546418  -12.191416     0.834281 ]","[0.41687378 0.43524754 0.42029333 0.5011635  0.45643008 0.47692406
 0.43303466 0.42550087 0.49382907 0.4443064  0.3944049  0.3891398 ]"
val,0,203.5714184771422,"[-3.8248315e+02  7.9341370e+01 -2.1514734e+01  3.3732986e+01
 -1.2629665e+01  1.0661841e+01 -1.7144148e+01 -1.2339062e+01
 -1.8107149e+01 -9.0846424e+00 -1.4289516e+00 -1.4732368e+01
 -4.3518810e+00 -8.2141924e+00 -6.2066996e-01 -9.1198359e+00
  4.4948306e+00 -1.1291329e+00 -1.1175972e+01 -2.5743625e-01]","[0.41082254 0.46851587 0.42305538 0.4422216  0.4405185  0.48025382
 0.45040902 0.5442135  0.6205683  0.46729013 0.39764702 0.36504078]"
val,0,202.94182689104906,"[-4.02584564e+02  1.04751045e+02 -2.72469368e+01  3.00037098e+01
 -1.94812870e+01  1.57071142e+01 -1.24354162e+01 -1.70270939e+01
 -1.96403275e+01 -5.64000845e+00 -2.91543365e+00 -1.40224524e+01
 -8.19905460e-01 -8.81959438e+00  2.53426343e-01 -1.00525265e+01
  3.72631979e+00  4.73119885e-01 -1.25309496e+01 -1.93981194e+00]","[0.3611814  0.3676761  0.3963044  0.41442454 0.51040006 0.5435946
 0.52351177 0.5593126  0.5157787  0.38902655 0.39075214 0.38238505]"
val,0,280.03443414967995,"[-396.08514      92.01333     -24.576147     11.069426      1.2745754
   12.632067    -15.945946    -20.934326    -20.020624     -8.907726
   -4.8595395   -13.450002     -0.57370704   -5.0190234    -1.9789463
   -6.7367       -0.7110675    -3.10268     -11.507336      1.1836784 ]","[0.41900593 0.43958098 0.40225464 0.36685833 0.41872752 0.42849675
 0.34719115 0.31528744 0.46247417 0.3840572  0.42381573 0.44411144]"
val,0,213.87754820165833,"[-4.1097388e+02  8.5429436e+01 -4.3567290e+00  3.4117702e+01
 -5.1217546e+00  5.8173552e+00 -1.2516934e+01 -1.3008713e+01
 -1.8599085e+01 -1.1844697e+01 -5.6021318e+00 -1.3198957e+01
 -5.3605728e+00 -6.4395161e+00 -1.2123039e+00 -7.5687537e+00
  2.4133418e+00 -4.5513558e+00 -9.9333477e+00 -9.7010568e-02]","[0.28501773 0.31016362 0.26422808 0.23950176 0.265252   0.40875086
 0.49691853 0.48768193 0.5564222  0.32858685 0.2941309  0.26796746]"
val,0,208.88860388796948,"[-419.86536     91.010086   -17.204256    44.480446   -15.035553
   20.543562   -17.837221    -9.351416   -18.772728    -9.401159
   -1.7177342  -19.760912    -5.2748194   -6.59995      1.2626842
  -11.425488     5.9513097   -2.4547307  -10.718113     1.4517015]","[0.2877323  0.34762385 0.3040328  0.38957497 0.4517129  0.5862412
 0.5980705  0.5668611  0.56519276 0.4206114  0.4089722  0.31574067]"
val,0,242.8119257390154,"[-4.0730060e+02  5.8479408e+01 -1.5509506e+01  2.9778759e+01
 -2.0298178e+01  1.6913166e+01 -8.9875193e+00 -9.6795330e+00
 -1.6106741e+01 -5.0562134e+00 -1.7588904e+00 -1.4232715e+01
 -8.0348152e-01 -7.1513591e+00  1.4483492e+00 -8.7425261e+00
 -9.1990635e-02 -9.1142461e-02 -8.7247639e+00 -3.0273890e+00]","[0.4567581  0.5201141  0.5069596  0.47356477 0.4435095  0.51113814
 0.5778649  0.56781197 0.58536214 0.38110065 0.34463108 0.3820489 ]"
val,0,224.70449988352382,"[-3.7794357e+02  8.1621384e+01 -2.9115177e+01  3.2933842e+01
 -1.7783995e+01  1.7935841e+01 -1.4869695e+01 -1.3459299e+01
 -2.1802059e+01 -7.6325593e+00 -1.5922780e+00 -1.7916761e+01
 -2.1756265e+00 -7.4491782e+00  8.4504616e-01 -9.9974632e+00
  2.8705962e+00 -3.5794973e-01 -1.0726828e+01 -8.3305824e-01]","[0.35042346 0.4299641  0.35554662 0.39077276 0.39560458 0.5006654
 0.541794   0.54586    0.47695658 0.27933452 0.27531055 0.32600823]"
val,0,210.87790631856006,"[-4.0709982e+02  7.3149437e+01 -2.3887548e+01  3.4316189e+01
 -1.3961561e+01  2.0655329e+01 -1.0013621e+01 -1.3815969e+01
 -1.7920267e+01 -2.7253087e+00 -1.3681353e+00 -1.7639027e+01
 -1.5030968e+00 -7.7404561e+00  2.6777730e+00 -5.7827525e+00
  6.9230598e-01  1.3350895e-01 -8.3274565e+00 -1.7405528e+00]","[0.41094297 0.54206675 0.44994354 0.49742794 0.48570076 0.57591665
 0.58865005 0.49644825 0.49043673 0.36657593 0.32197374 0.36538568]"
